,0,1
rep1_fold1,0.2517321015584914,0.25115207367484976
rep1_fold2,0.2517321015584914,0.25115207367484976
rep1_fold3,0.24884792620994287,0.24827586201189059
rep1_fold4,0.24884792620994287,0.24827586201189059
rep1_fold5,0.24884792620994287,0.25115207367484976
rep2_fold1,0.2517321015584914,0.254041570380129
rep2_fold2,0.2517321015584914,0.25115207367484976
rep2_fold3,0.24884792620994287,0.24827586201189059
rep2_fold4,0.24884792620994287,0.24827586201189059
rep2_fold5,0.24884792620994287,0.24827586201189059
rep3_fold1,0.2517321015584914,0.25115207367484976
rep3_fold2,0.2517321015584914,0.25115207367484976
rep3_fold3,0.24884792620994287,0.24827586201189059
rep3_fold4,0.24884792620994287,0.24827586201189059
rep3_fold5,0.24884792620994287,0.25115207367484976
